group,subgroup,shap value,cluster,type
Population without health services,class 1,0.39348328299999996,non,zika
Mean Max Temp,class 1,0.158012084,non,zika
Houses without sewage,class 1,0.01915805,non,zika
Houses without sewage,class 0,0.493545405,all,dengue
Houses without toilet,class 1,0.421797145,non,dengue
Houses with floor of dirt,class 0,0.501681058,non,chkk
Mean Temp,class 0,0.147803307,all,dengue
Min mm/day,class 0,0.009707553,all,dengue
Houses without toilet,class 0,0.783996667,non,chkk
Mean mm/day,class 1,0.413309781,non,zika
Altitude,class 1,0.024767202999999998,non,zika
Min mm/day,class 1,0.02,non,zika
Mean Temp,class 0,0.130480335,all,chkk
Mean Temp,class 1,0.024355217000000002,non,chkk
Altitude,class 1,0.08421263,all,chkk
Altitude,class 0,0.043745951,all,zika
Max mm/day,class 1,0.402174278,non,dengue
Houses without sewage,class 1,0.500153596,non,dengue
Min mm/day,class 1,0.001,non,dengue
Mean Temp,class 0,0.322681371,all,zika
Houses without electricity,class 1,0.292100682,non,dengue
Mean Temp,class 1,0.746151943,non,dengue
Houses without sewage,class 0,0.467366981,all,chkk
Mean Temp,class 1,0.298737388,all,zika
Houses without water pipelines,class 0,0.276359862,non,dengue
Houses without toilet,class 0,0.43707641399999997,all,dengue
Mean Min Temp,class 0,0.474945024,non,dengue
Houses without water pipelines,class 1,0.400927535,all,dengue
Houses without sewage,class 1,0.022160693,non,zika
Min mm/day,class 0,0.001,all,dengue
Min mm/day,class 0,0.021610672999999997,all,chkk
Houses with floor of dirt,class 1,0.5616149220000001,non,chkk
Max mm/day,class 1,0.31169286,all,dengue
Max mm/day,class 1,0.2827166,all,dengue
Illiteracy,class 1,0.780242487,non,zika
Min mm/day,class 0,0.073840885,non,zika
Min mm/day,class 1,0.04689975,all,dengue
Houses without water pipelines,class 1,0.322414253,non,dengue
Mean mm/day,class 1,0.209396208,all,chkk
Houses without electricity,class 0,0.583274295,all,chkk
Min mm/day,class 1,0.03379742,all,dengue
Houses without toilet,class 0,1.16276273,non,zika
Houses without water pipelines,class 1,0.316334322,non,dengue
Min mm/day,class 0,0.015628186999999998,all,zika
Illiteracy,class 1,0.816123057,all,chkk
Houses without electricity,class 1,0.29916663,non,dengue
Mean Max Temp,class 1,0.185220087,all,zika
Mean mm/day,class 0,0.382129865,non,chkk
Mean Temp,class 1,0.03632586,non,zika
Altitude,class 1,0.001,all,dengue
Houses without water pipelines,class 1,0.446587953,non,zika
Mean Temp,class 1,0.111748106,all,dengue
Houses without water pipelines,class 1,0.407601238,all,dengue
Mean Max Temp,class 0,0.283931815,non,dengue
Mean Max Temp,class 1,0.906030518,non,chkk
Max mm/day,class 0,0.29083291899999997,all,chkk
Population without health services,class 1,0.405574782,non,zika
Illiteracy,class 1,0.7894684129999999,all,zika
Altitude,class 1,0.052629424,all,zika
Population without health services,class 1,1.16,all,chkk
Max mm/day,class 0,0.734570573,non,zika
Houses without sewage,class 1,0.495691815,non,dengue
Houses with floor of dirt,class 0,0.49557998799999997,non,chkk
Houses without electricity,class 0,0.084021254,all,zika
Mean Temp,class 1,0.7319349959999999,non,dengue
Illiteracy,class 1,0.839735597,all,chkk
Houses without water pipelines,class 1,0.327240425,all,chkk
Houses without toilet,class 1,0.41233347200000003,all,zika
Houses without sewage,class 1,0.46795701799999995,non,dengue
Altitude,class 1,0.001,non,dengue
Min mm/day,class 1,0.005554590999999999,all,dengue
Population without health services,class 0,0.353436959,all,dengue
Mean mm/day,class 1,0.298914587,all,dengue
Houses without electricity,class 0,0.049537387,non,chkk
Houses without electricity,class 1,0.384096063,all,dengue
Houses without electricity,class 0,0.001,non,chkk
Population without health services,class 1,0.387021334,non,chkk
Max mm/day,class 1,0.039646022999999996,non,chkk
Illiteracy,class 1,0.8294723509999999,all,chkk
Houses without electricity,class 1,0.296850363,non,dengue
Houses with floor of dirt,class 0,0.526376958,all,chkk
Mean Temp,class 1,0.324703788,all,zika
Houses without electricity,class 0,0.279072686,non,dengue
Population without health services,class 1,0.293314505,all,dengue
Houses without electricity,class 1,0.30064009399999997,non,dengue
Houses without electricity,class 1,0.406415129,all,dengue
Houses without electricity,class 1,0.599428904,non,zika
Houses with floor of dirt,class 0,0.272455395,non,dengue
Altitude,class 1,0.001,non,dengue
Population without health services,class 0,0.89932543,all,zika
Houses with floor of dirt,class 0,0.21980805399999997,non,zika
Population without health services,class 0,0.7531632890000001,non,dengue
Mean mm/day,class 0,0.300388191,all,dengue
Mean Max Temp,class 0,1.007706172,non,chkk
Mean Min Temp,class 1,0.016980546000000003,non,chkk
Altitude,class 1,0.003049942,all,dengue
Max mm/day,class 0,0.716680648,non,zika
Altitude,class 1,0.034237939,all,dengue
Houses without electricity,class 0,0.39732615600000004,all,dengue
Mean Temp,class 1,0.174045537,all,chkk
Mean Min Temp,class 0,0.376245106,all,dengue
Illiteracy,class 0,0.26080692699999997,non,chkk
Illiteracy,class 0,0.498539849,non,dengue
Altitude,class 1,0.0018024629999999998,non,chkk
Houses without toilet,class 1,0.451872065,all,dengue
Mean Temp,class 1,0.688350474,non,dengue
Altitude,class 0,0.05241691,non,dengue
Houses without water pipelines,class 1,0.21257760899999997,non,chkk
Houses with floor of dirt,class 0,0.5541567589999999,non,chkk
Illiteracy,class 0,0.49414439600000004,non,dengue
Mean Min Temp,class 1,0.365460974,all,dengue
Houses without toilet,class 1,0.381128236,all,zika
Mean Temp,class 1,0.0042170409999999995,non,zika
Max mm/day,class 0,0.742488921,non,zika
Houses with floor of dirt,class 0,0.6139181810000001,all,dengue
Houses with floor of dirt,class 0,0.181201103,non,zika
Illiteracy,class 1,0.884427284,all,zika
Mean Temp,class 1,0.217362471,all,chkk
Mean Temp,class 0,0.029383442000000003,non,chkk
Houses without toilet,class 0,1.152593158,non,zika
Houses with floor of dirt,class 1,0.57497485,non,chkk
Houses without toilet,class 1,0.406607655,non,dengue
Mean Temp,class 0,0.029502503,non,zika
Illiteracy,class 0,0.799169108,all,chkk
Min mm/day,class 0,0.004847797,all,dengue
Houses without sewage,class 1,0.5131672629999999,non,dengue
Mean mm/day,class 1,0.442392059,non,chkk
Illiteracy,class 0,0.513889138,non,dengue
Min mm/day,class 0,0.001,non,zika
Illiteracy,class 0,0.694683625,all,dengue
Houses without electricity,class 1,0.10952285,all,zika
Mean Max Temp,class 1,0.166218266,all,zika
Max mm/day,class 1,0.810267315,non,zika
Mean Max Temp,class 1,0.638326598,all,chkk
Mean mm/day,class 0,0.398208555,non,dengue
Mean Temp,class 0,0.021699238,non,chkk
Houses without electricity,class 1,0.102309312,all,zika
Max mm/day,class 0,0.218547729,all,zika
Mean mm/day,class 0,0.421780174,non,dengue
Mean Max Temp,class 1,0.175633605,all,zika
Houses without toilet,class 0,0.793452664,non,chkk
Max mm/day,class 0,0.265757146,all,chkk
Houses without sewage,class 0,0.449773926,all,dengue
Illiteracy,class 1,0.544185629,non,dengue
Houses without water pipelines,class 1,0.371217057,all,dengue
Mean Max Temp,class 1,0.17062723300000002,all,zika
Houses with floor of dirt,class 0,0.206454783,non,zika
Mean Temp,class 1,0.180973157,all,chkk
Population without health services,class 0,0.366191383,non,chkk
Altitude,class 0,0.051030100999999994,non,zika
Houses with floor of dirt,class 0,0.5890792570000001,all,dengue
Mean mm/day,class 0,0.286444084,all,dengue
Illiteracy,class 1,0.7446819,non,zika
Houses without water pipelines,class 1,0.16453932400000001,non,chkk
Illiteracy,class 0,0.9064607840000001,all,zika
Population without health services,class 0,0.724564755,non,dengue
Illiteracy,class 1,0.712094544,non,zika
Houses without sewage,class 1,0.21,non,chkk
Max mm/day,class 1,0.299833638,all,dengue
Houses without water pipelines,class 1,0.17227390399999998,non,chkk
Mean Min Temp,class 0,0.489408835,all,chkk
Houses without electricity,class 1,0.056617078,all,zika
Max mm/day,class 1,0.024111159,non,chkk
Houses with floor of dirt,class 0,0.18266641600000003,all,zika
Houses without water pipelines,class 1,0.18854882,non,chkk
Population without health services,class 1,0.8746326459999999,all,zika
Mean Temp,class 0,0.157609901,all,dengue
Mean mm/day,class 1,0.311891183,all,dengue
Houses without sewage,class 0,0.034463172,non,zika
Houses without water pipelines,class 0,0.13262918199999998,non,chkk
Houses without electricity,class 1,0.053517657999999996,non,chkk
Max mm/day,class 0,0.387333298,non,dengue
Mean Max Temp,class 1,0.25903995399999996,non,dengue
Houses without water pipelines,class 1,0.31679360300000003,all,chkk
Min mm/day,class 1,0.021420734,all,zika
Houses without sewage,class 1,0.02946243,non,zika
Max mm/day,class 1,0.810135657,non,zika
Houses without toilet,class 0,1.133111281,non,zika
Illiteracy,class 0,0.688952487,non,zika
Houses with floor of dirt,class 1,0.544210946,non,chkk
Mean Max Temp,class 0,0.599865095,all,chkk
Altitude,class 0,0.103455851,all,chkk
Mean Temp,class 0,0.274531371,all,zika
Population without health services,class 0,0.349277729,all,dengue
Houses without toilet,class 1,0.476253087,all,dengue
Min mm/day,class 0,0.001,all,zika
Houses without toilet,class 0,0.468436213,non,dengue
Houses without electricity,class 0,0.104675238,all,zika
Mean Temp,class 1,0.027662297000000002,non,chkk
Houses without water pipelines,class 0,0.145429984,non,chkk
Min mm/day,class 1,0.011998498,all,dengue
Houses without electricity,class 1,0.001,non,chkk
Mean Max Temp,class 0,0.226164547,non,zika
Mean Min Temp,class 1,0.47927701100000003,non,dengue
Illiteracy,class 1,0.239173424,non,chkk
Houses without water pipelines,class 0,0.33862249299999997,non,dengue
Max mm/day,class 1,0.151879054,all,zika
Mean Min Temp,class 0,0.48569745700000005,non,dengue
Mean Min Temp,class 0,0.396137594,all,dengue
Max mm/day,class 0,0.292904082,all,chkk
Houses without toilet,class 0,0.43791853399999997,all,dengue
Houses with floor of dirt,class 1,0.17978542600000003,non,zika
Max mm/day,class 0,0.08178234599999999,non,chkk
Min mm/day,class 1,0.018685916,non,chkk
Mean mm/day,class 1,0.395854405,non,zika
Houses without water pipelines,class 1,0.400419956,all,dengue
Houses without toilet,class 1,0.406030265,non,dengue
Mean mm/day,class 0,0.400441292,non,chkk
Houses without electricity,class 1,0.5942667389999999,non,zika
Houses without electricity,class 0,0.018766463,non,chkk
Houses without water pipelines,class 1,0.276453419,non,dengue
Houses without sewage,class 0,0.30030545,all,zika
Houses without sewage,class 1,0.417642102,all,chkk
Houses without electricity,class 0,0.26902312100000003,non,dengue
Mean Max Temp,class 1,0.6511203729999999,all,chkk
Houses without electricity,class 0,0.08,all,zika
Illiteracy,class 0,0.7993937790000001,all,chkk
Mean mm/day,class 0,0.404505079,non,dengue
Max mm/day,class 0,0.291636383,all,chkk
Min mm/day,class 1,0.048789482,all,zika
Houses without sewage,class 0,0.531186361,all,dengue
Houses without toilet,class 0,0.500200549,all,dengue
Max mm/day,class 0,0.081576985,non,chkk
Illiteracy,class 0,0.900873675,all,zika
Mean Min Temp,class 0,0.39606306,all,dengue
Houses with floor of dirt,class 0,0.18880254600000002,all,zika
Mean Min Temp,class 1,0.060740925,non,chkk
Min mm/day,class 0,0.001,non,dengue
Mean mm/day,class 0,0.272833568,all,dengue
Houses with floor of dirt,class 0,0.6279219429999999,all,dengue
Houses without toilet,class 1,0.8217374829999999,non,chkk
Houses with floor of dirt,class 1,0.542577701,non,chkk
Mean Max Temp,class 1,0.48737676799999996,all,dengue
Mean Max Temp,class 1,0.168455971,non,zika
Houses without water pipelines,class 0,0.337997589,all,dengue
Illiteracy,class 0,0.288394245,non,chkk
Population without health services,class 0,0.406182837,non,chkk
Houses without toilet,class 1,0.786327862,non,chkk
Houses without sewage,class 0,0.313138601,all,zika
Illiteracy,class 0,0.8717250259999999,all,zika
Houses without electricity,class 1,0.091248674,all,zika
Mean Min Temp,class 1,0.015753083,non,chkk
Houses without electricity,class 0,0.58441119,non,zika
Houses without sewage,class 1,0.437543416,all,chkk
Max mm/day,class 0,0.22185133899999998,all,zika
Mean Max Temp,class 0,0.208115358,all,zika
Houses without sewage,class 1,0.37317188,all,zika
Houses without water pipelines,class 1,0.420540165,all,dengue
Mean Temp,class 1,0.038567422999999997,non,zika
Houses without electricity,class 0,0.567604253,non,zika
Mean Min Temp,class 1,0.49325846799999995,all,chkk
Altitude,class 1,0.08534673699999999,all,chkk
Houses without toilet,class 0,1.167901724,non,zika
Max mm/day,class 1,0.274817521,all,chkk
Population without health services,class 1,0.324656562,all,dengue
Mean Min Temp,class 0,0.055318452000000004,non,chkk
Altitude,class 1,0.015815322,non,dengue
Mean Min Temp,class 0,0.36886382100000004,all,dengue
Min mm/day,class 1,0.001,non,chkk
Illiteracy,class 1,0.779269905,non,zika
Houses without electricity,class 1,0.031647476,non,chkk
Mean Min Temp,class 1,0.032098731,non,chkk
Mean Min Temp,class 0,0.226310595,all,zika
Mean mm/day,class 1,0.312846207,all,dengue
Mean Temp,class 0,0.729325958,non,dengue
Illiteracy,class 1,0.826197321,all,zika
Houses with floor of dirt,class 1,0.59924562,all,dengue
Mean Min Temp,class 1,0.007412666,non,chkk
Houses with floor of dirt,class 1,0.5714202660000001,non,chkk
Houses without sewage,class 0,0.5127179479999999,all,dengue
Mean Min Temp,class 0,0.396485133,all,dengue
Houses without electricity,class 0,0.25786059,non,dengue
Mean mm/day,class 0,0.417252354,non,dengue
Illiteracy,class 1,0.83,all,zika
Min mm/day,class 0,0.014895331000000001,non,dengue
Altitude,class 0,0.02270312,non,chkk
Mean Max Temp,class 1,0.29652265899999997,non,dengue
Max mm/day,class 1,0.8186469190000001,non,zika
Houses without sewage,class 0,0.241407304,non,chkk
Houses without sewage,class 0,0.19889032199999998,non,chkk
Population without health services,class 1,0.45435319399999996,non,zika
Population without health services,class 1,0.326837707,all,dengue
Houses without toilet,class 0,1.184530547,non,zika
Mean Temp,class 1,0.044414086,non,chkk
Min mm/day,class 0,0.001,non,dengue
Houses without toilet,class 0,0.45008969200000004,non,dengue
Mean mm/day,class 0,0.279689722,all,dengue
Houses without sewage,class 0,0.49157187799999996,all,dengue
Mean mm/day,class 0,0.370648576,non,dengue
Houses without toilet,class 1,0.38557408600000004,all,zika
Max mm/day,class 0,0.764656965,non,zika
Population without health services,class 1,0.329793569,non,chkk
Max mm/day,class 1,0.8063883209999999,non,zika
Max mm/day,class 1,0.786907603,non,zika
Houses with floor of dirt,class 0,0.5929965420000001,all,dengue
Max mm/day,class 0,0.22674829600000002,all,zika
Altitude,class 1,0.075719856,all,chkk
Houses without sewage,class 0,0.035082696000000003,non,zika
Illiteracy,class 0,0.9265751740000001,all,zika
Houses without sewage,class 1,0.513506792,all,dengue
Houses without electricity,class 0,0.086804585,all,zika
Houses without electricity,class 1,0.638361366,non,zika
Mean Min Temp,class 0,0.510415127,non,dengue
Min mm/day,class 0,0.001,all,dengue
Mean Max Temp,class 1,0.870681545,non,chkk
Houses without electricity,class 1,0.035904674,non,chkk
Houses without sewage,class 1,0.020776543999999997,non,zika
Max mm/day,class 0,0.380092975,non,dengue
Houses with floor of dirt,class 0,0.23688967600000002,non,zika
Houses without water pipelines,class 0,0.298706033,all,chkk
Mean mm/day,class 1,0.386917215,non,chkk
Min mm/day,class 1,0.037461397,non,zika
Altitude,class 1,0.00346479,non,zika
Illiteracy,class 0,0.691571105,non,zika
Population without health services,class 1,0.765385568,non,dengue
Mean Temp,class 0,0.019521306999999998,non,chkk
Population without health services,class 0,0.730041789,non,dengue
Min mm/day,class 0,0.067552266,non,chkk
Max mm/day,class 1,0.40668958899999996,non,dengue
Mean Temp,class 1,0.031246007000000003,non,chkk
Population without health services,class 0,0.424883894,non,chkk
Mean Min Temp,class 0,0.508312019,all,chkk
Max mm/day,class 1,0.17670960100000002,all,zika
Min mm/day,class 1,0.00194523,all,zika
Houses with floor of dirt,class 1,0.24024906399999998,non,dengue
Mean Min Temp,class 1,0.45482460399999997,all,chkk
Mean Temp,class 1,0.690568085,non,dengue
Mean Temp,class 0,0.30110440000000005,all,zika
Illiteracy,class 1,0.8113997340000001,all,chkk
Max mm/day,class 0,0.28139853,all,dengue
Mean Temp,class 0,0.13500895300000001,all,chkk
Houses without toilet,class 1,0.394192286,all,zika
Mean mm/day,class 1,0.219239564,all,chkk
Min mm/day,class 1,0.025327277000000002,all,chkk
Houses without water pipelines,class 1,0.285472509,non,dengue
Min mm/day,class 1,0.001,non,chkk
Houses with floor of dirt,class 1,0.235290643,non,dengue
Mean Max Temp,class 1,0.917750682,non,chkk
Mean Max Temp,class 1,0.646188182,all,chkk
Mean Temp,class 0,0.0018084470000000001,non,chkk
Mean Min Temp,class 0,0.485447798,all,chkk
Min mm/day,class 0,0.04887643,non,chkk
Altitude,class 1,0.046099281,non,dengue
Houses without sewage,class 1,0.526839319,all,dengue
Population without health services,class 0,0.7993851809999999,all,zika
Houses without electricity,class 1,0.510176315,all,chkk
Mean mm/day,class 1,0.362307991,all,zika
Max mm/day,class 0,0.239713645,all,zika
Houses without electricity,class 0,0.071661194,all,zika
Mean Temp,class 0,0.1425793,all,chkk
Mean Max Temp,class 0,0.6,all,chkk
Mean Max Temp,class 1,0.868644425,non,chkk
Min mm/day,class 0,0.06255993900000001,non,dengue
Min mm/day,class 1,0.009167138,non,dengue
Illiteracy,class 0,0.786533149,all,chkk
Houses without water pipelines,class 1,0.373981474,all,dengue
Population without health services,class 1,0.35550709,non,chkk
Mean Max Temp,class 1,0.18040384,all,zika
Min mm/day,class 0,0.017930757,all,zika
Population without health services,class 1,0.9002379890000001,all,zika
Houses without sewage,class 0,0.522770423,all,dengue
Max mm/day,class 1,0.272722485,all,chkk
Mean mm/day,class 0,0.44021381299999995,non,zika
Houses without toilet,class 1,0.8643793559999999,non,chkk
Mean mm/day,class 1,0.420714408,non,chkk
Houses without water pipelines,class 1,0.292149438,non,dengue
Houses without toilet,class 0,0.450702505,non,dengue
Houses without sewage,class 1,0.19960669600000003,non,chkk
Max mm/day,class 0,0.310536627,all,chkk
Houses without toilet,class 0,0.788283222,non,chkk
Mean mm/day,class 0,0.411469795,non,dengue
Mean mm/day,class 1,0.304440697,all,dengue
Altitude,class 0,0.037219196,non,chkk
Max mm/day,class 1,0.40464474799999994,non,dengue
Houses without electricity,class 1,0.383852672,all,dengue
Mean Temp,class 0,0.660393576,non,dengue
Houses without toilet,class 0,0.44756327799999995,all,dengue
Mean Min Temp,class 1,0.45,all,chkk
Houses without water pipelines,class 0,0.152508523,non,chkk
Mean mm/day,class 0,0.187682739,all,chkk
Houses without water pipelines,class 0,0.257434195,non,dengue
Min mm/day,class 0,0.007948356,non,chkk
Houses without toilet,class 0,0.442554265,non,dengue
Houses without electricity,class 0,0.293847772,non,dengue
Houses without electricity,class 0,0.42392277899999997,all,dengue
Illiteracy,class 0,0.449297496,non,dengue
Mean Min Temp,class 0,0.001,non,chkk
Mean Min Temp,class 0,0.11959880099999999,non,zika
Houses without toilet,class 1,0.220325865,all,chkk
Illiteracy,class 0,0.691209689,non,zika
Mean Temp,class 1,0.297703697,all,zika
Houses without toilet,class 0,0.44906562,non,dengue
Houses without sewage,class 0,0.43775106799999997,all,chkk
Houses without electricity,class 0,0.320879719,non,dengue
Population without health services,class 0,0.425090674,non,chkk
Altitude,class 1,0.08608485199999999,all,chkk
Houses without sewage,class 0,0.0279889,non,zika
Max mm/day,class 0,0.302127478,all,chkk
Houses without sewage,class 1,0.340978255,all,zika
Houses without toilet,class 0,0.42042704200000003,all,zika
Houses without sewage,class 1,0.39986074,all,chkk
Altitude,class 1,0.003811702,non,dengue
Mean Temp,class 1,0.012020316999999999,non,chkk
Houses without sewage,class 0,0.5,all,dengue
Altitude,class 0,0.001,all,zika
Max mm/day,class 0,0.282903408,all,dengue
Population without health services,class 1,0.7655030840000001,non,dengue
Houses without sewage,class 1,0.027746414,non,zika
Mean Temp,class 0,0.300854662,all,zika
Max mm/day,class 1,0.426175575,non,dengue
Max mm/day,class 1,0.30500244600000004,all,chkk
Mean Max Temp,class 1,0.290374012,non,dengue
Altitude,class 1,0.008783006,all,zika
Illiteracy,class 1,0.7367191040000001,non,zika
Houses without electricity,class 0,0.407961777,all,dengue
Houses with floor of dirt,class 1,0.580948169,all,chkk
Houses without water pipelines,class 0,0.101674048,non,chkk
Min mm/day,class 0,0.00567403,all,chkk
Max mm/day,class 1,0.77819926,non,zika
Mean Min Temp,class 0,0.04338653,non,chkk
Min mm/day,class 0,0.0075973180000000005,non,zika
Mean Min Temp,class 1,0.018175268999999997,non,zika
Houses without toilet,class 0,1.136334978,non,zika
Mean Min Temp,class 0,0.22,all,zika
Mean Temp,class 0,0.169444485,all,dengue
Houses without water pipelines,class 1,0.605426715,all,zika
Mean Min Temp,class 0,0.262050491,all,zika
Min mm/day,class 1,0.062691224,all,dengue
Mean Min Temp,class 1,0.16352804699999998,all,zika
Population without health services,class 0,1.192737222,all,chkk
Mean Min Temp,class 0,0.523520346,all,chkk
Mean Min Temp,class 1,0.43886072299999995,all,chkk
Min mm/day,class 1,0.020959321,non,zika
Houses without electricity,class 1,0.526445932,all,chkk
Houses without water pipelines,class 1,0.182988631,non,chkk
Mean Min Temp,class 1,0.006672911,non,chkk
Houses without sewage,class 1,0.215493412,non,chkk
Houses without water pipelines,class 1,0.290586662,all,chkk
Houses without sewage,class 1,0.016111481,non,zika
Mean Max Temp,class 1,0.6726991170000001,all,chkk
Illiteracy,class 1,0.8170093979999999,all,zika
Illiteracy,class 1,0.751134058,non,zika
Population without health services,class 1,0.844084237,all,zika
Houses without toilet,class 1,1.1639563,non,zika
Min mm/day,class 1,0.019465745,all,chkk
Houses without water pipelines,class 0,0.153454378,non,chkk
Houses without water pipelines,class 0,0.400678049,non,zika
Illiteracy,class 1,0.7234232290000001,non,zika
Houses without sewage,class 1,0.509056402,non,dengue
Illiteracy,class 1,0.82460715,all,zika
Houses without toilet,class 0,0.784728595,non,chkk
Houses without electricity,class 1,0.08088538,all,zika
Houses without toilet,class 1,1.199113182,non,zika
Houses without water pipelines,class 1,0.45,non,zika
Min mm/day,class 0,0.001,all,dengue
Houses without water pipelines,class 1,0.35092837299999996,all,chkk
Mean Temp,class 0,0.273420489,all,zika
Houses without water pipelines,class 0,0.295213779,all,chkk
Mean Min Temp,class 1,0.332637874,all,dengue
Houses without electricity,class 0,0.450895709,all,dengue
Houses without sewage,class 0,0.46503258700000005,non,dengue
Altitude,class 1,0.014602664,all,zika
Houses with floor of dirt,class 1,0.192389001,non,zika
Mean Max Temp,class 1,0.31782924100000004,non,dengue
Illiteracy,class 1,0.831619155,all,chkk
Houses without toilet,class 0,0.437160769,all,chkk
Illiteracy,class 0,0.670327488,all,dengue
Mean Max Temp,class 0,0.592471061,all,chkk
Mean mm/day,class 0,0.41853113799999997,non,zika
Mean mm/day,class 0,0.181528921,all,chkk
Altitude,class 0,0.11618056800000001,all,chkk
Houses without sewage,class 1,0.500992517,non,dengue
Mean Max Temp,class 0,0.222868452,non,zika
Population without health services,class 1,0.311075435,all,dengue
Max mm/day,class 0,0.770588787,non,zika
Population without health services,class 1,0.35340470700000004,non,chkk
Houses with floor of dirt,class 0,0.523795906,all,chkk
Illiteracy,class 1,0.788577422,all,zika
Houses without water pipelines,class 1,0.32926528,all,chkk
Houses without electricity,class 1,0.496665245,all,chkk
Houses without water pipelines,class 1,0.20058641100000002,non,chkk
Population without health services,class 0,1.1996035440000001,all,chkk
Houses without water pipelines,class 1,0.349822274,all,chkk
Population without health services,class 0,0.863126339,all,zika
Houses without toilet,class 0,0.466143381,all,dengue
Houses without water pipelines,class 0,0.266276113,non,dengue
Houses with floor of dirt,class 1,0.164790641,all,zika
Houses with floor of dirt,class 0,0.165692074,all,zika
Mean mm/day,class 1,0.32386332,all,zika
Mean Max Temp,class 0,0.208976699,all,zika
Mean Temp,class 0,0.019809324,non,chkk
Houses without electricity,class 0,0.4263911,all,dengue
Houses without electricity,class 0,0.280075726,non,dengue
Houses without electricity,class 1,0.5,all,chkk
Altitude,class 0,0.014427074,non,chkk
Houses without electricity,class 1,0.624091259,non,zika
Max mm/day,class 1,0.39844926399999997,non,dengue
Houses without toilet,class 1,0.40787424200000005,non,dengue
Houses without sewage,class 1,0.44728059200000003,all,chkk
Altitude,class 0,0.008236,non,chkk
Houses without water pipelines,class 0,0.10101659800000001,non,chkk
Altitude,class 1,0.076465915,all,chkk
Mean Max Temp,class 0,1.023737657,non,chkk
Population without health services,class 1,0.284726701,all,dengue
Max mm/day,class 1,0.199055747,all,zika
Min mm/day,class 1,0.000447525,all,zika
Mean Max Temp,class 0,0.21507287100000003,non,zika
Houses without water pipelines,class 1,0.451239695,non,zika
Mean Min Temp,class 0,0.11493788699999999,non,zika
Altitude,class 1,0.036683347000000005,non,chkk
Mean mm/day,class 1,0.33872752100000003,all,zika
Houses with floor of dirt,class 1,0.150820089,all,zika
Altitude,class 1,0.014672387,all,zika
Houses with floor of dirt,class 1,0.563251235,all,dengue
Mean Temp,class 1,0.044050150999999996,non,chkk
Houses without sewage,class 1,0.40609331600000004,all,chkk
Altitude,class 1,0.12210396,all,chkk
Houses with floor of dirt,class 0,0.210509164,non,dengue
Max mm/day,class 0,0.08286669999999999,non,chkk
Houses without water pipelines,class 1,0.45773924200000005,non,zika
Mean Temp,class 0,0.020474395,non,chkk
Illiteracy,class 1,0.8235570879999999,all,zika
Houses without toilet,class 1,0.390396288,all,zika
Houses with floor of dirt,class 0,0.47916463299999995,all,chkk
Min mm/day,class 0,0.016417135,non,dengue
Mean Max Temp,class 1,0.602478685,all,chkk
Houses without water pipelines,class 1,0.436463812,non,zika
Houses with floor of dirt,class 1,0.185747888,all,zika
Min mm/day,class 1,0.018995674,all,zika
Min mm/day,class 0,0.021507624,all,zika
Illiteracy,class 1,0.719120196,non,zika
Mean mm/day,class 1,0.39486662899999997,all,zika
Altitude,class 0,0.0041408,non,dengue
Mean Max Temp,class 1,0.201479866,all,zika
Mean Min Temp,class 1,0.03586727,non,zika
Houses with floor of dirt,class 0,0.49378013,all,chkk
Houses with floor of dirt,class 1,0.178495536,non,zika
Houses without electricity,class 0,0.393143953,all,dengue
Population without health services,class 0,0.36030354,all,dengue
Houses without toilet,class 1,0.213730909,all,chkk
Altitude,class 1,0.030462412,all,dengue
Altitude,class 1,0.035191837000000004,all,dengue
Illiteracy,class 1,0.20339923699999998,non,chkk
Mean Min Temp,class 1,0.43477652,non,dengue
Mean Max Temp,class 1,0.643204801,all,chkk
Population without health services,class 1,0.8871127659999999,all,zika
Houses without toilet,class 0,0.449433459,all,zika
Illiteracy,class 0,0.9009197990000001,all,zika
Illiteracy,class 1,0.8099679759999999,all,chkk
Houses without electricity,class 1,0.37969163799999994,all,dengue
Mean Temp,class 0,0.10623885300000001,all,chkk
Houses without toilet,class 1,0.47339657,non,dengue
Houses without water pipelines,class 1,0.57388631,all,zika
Mean Temp,class 1,0.008493993,non,chkk
Houses without sewage,class 0,0.181707425,non,chkk
Mean Max Temp,class 1,0.162807652,non,zika
Illiteracy,class 0,0.27252074,non,chkk
Population without health services,class 1,0.9,all,zika
Houses without water pipelines,class 0,0.143517949,non,chkk
Max mm/day,class 1,0.318439577,all,dengue
Mean mm/day,class 1,0.35120961,non,zika
Mean Min Temp,class 0,0.53568015,all,chkk
Houses without sewage,class 1,0.025433919,non,zika
Houses with floor of dirt,class 1,0.208745672,all,zika
Houses without water pipelines,class 0,0.562488173,all,zika
Mean Min Temp,class 1,0.35776629200000004,all,dengue
Illiteracy,class 1,0.6889433140000001,all,dengue
Mean Max Temp,class 0,0.49592008299999996,all,dengue
Population without health services,class 1,0.7700034720000001,non,dengue
Mean Temp,class 1,0.7383330490000001,non,dengue
Min mm/day,class 1,0.000607757,non,zika
Population without health services,class 0,0.8415952859999999,all,zika
Illiteracy,class 0,0.741213221,non,zika
Houses without toilet,class 0,0.482495812,non,dengue
Min mm/day,class 1,0.0040818090000000005,all,zika
Houses with floor of dirt,class 0,0.224535775,non,zika
